"!=	(1 Index1Test) 
1	(1 ReadMe) 
¼*	(1 IndexMapper) 
*	(15 read) 
˜!=	(1 Indexer) (1 Indexer) (1 Indexer) 
 *	(2 RunMe) 
*	(2 Indexer) (2 Indexer) (2 Indexer) (2 Index1Test) 
+	(1 Index1Test) (3 Indexer) (26 RunMe) (3 Indexer) (3 Indexer) 
+=	(1 Indexer) (1 Indexer) (1 Indexer) 
+tempin	(1 RunMe) 
+uid	(1 RunMe) 
/	(4 RunMe) 
//	(24 RunMe) (5 Indexer) (2 IndexMapper) (1 Index1Test) (5 Indexer) (5 Indexer) 
//create	(1 Indexer) (1 Indexer) (1 Indexer) 
//system	(1 Indexer) (1 Indexer) (1 Indexer) 
/_	(1 RunMe) 
/part	(2 RunMe) 
/usr/share/hadoop/hadoop	(1 read) 
/|___	(1 RunMe) 
0	(1 read) 
00000	(1 read) (2 RunMe) 
1	(3 RunMe) (3 read) (1 IndexMapper) (1 Index1Test) 
10000000	(1 RunMe) 
2	(1 Index1Test) (2 read) (2 ReadMe) 
2510	(1 ReadMe) (1 read) 
3	(1 read) (1 ReadMe) 
4	(1 ReadMe) (1 read) 
5	(1 read) (1 ReadMe) 
6	(1 ReadMe) (1 read) 
7	(1 read) (1 ReadMe) 
8	(1 ReadMe) (1 read) 
<input	(1 Index1Test) 
<output	(1 Index1Test) 
=	(18 Indexer) (18 Indexer) (9 RunMe) (4 IndexMapper) (18 Indexer) 
=========================================================	(2 RunMe) 
===================================================================================	(1 read) 
[error]	(7 RunMe) 
[fatal]	(2 RunMe) 
[info]	(13 RunMe) 
[todo]	(4 RunMe) 
\	(1 IndexMapper) 
\\	(3 RunMe) 
\\___	(1 RunMe) 
\\_____|_____/|____|____/	(1 RunMe) 
\\|	(1 RunMe) 
\n	(1 Indexer) (1 Indexer) (1 Indexer) 
_	(1 RunMe) 
__	(1 RunMe) 
___	(4 RunMe) 
____	(1 RunMe) 
____/_	(1 RunMe) 
_____	(3 RunMe) 
____|/	(1 RunMe) 
____|__	(1 RunMe) 
a	(2 RunMe) (7 read) (1 Index1Test) (5 ReadMe) 
addinputpath	(2 Indexer) (2 Indexer) (2 Indexer) 
afs	(2 read) (2 ReadMe) 
afsloc	(3 RunMe) 
afssrc	(2 Indexer) (2 Indexer) (2 Indexer) 
again	(3 RunMe) 
again!	(1 RunMe) 
against	(1 ReadMe) (1 read) 
an	(1 read) (1 ReadMe) (1 RunMe) (1 IndexMapper) 
and	(2 ReadMe) (2 read) (1 Indexer) (1 Indexer) (1 RunMe) (1 Indexer) 
anymore	(1 RunMe) 
apache	(12 Indexer) (4 IndexMapper) (12 Indexer) (12 Indexer) 
append	(2 RunMe) 
appendexcept	(2 RunMe) 
appendstring	(2 Indexer) (2 Indexer) (2 Indexer) 
appendstringtohdfs	(1 Indexer) (1 Indexer) (1 RunMe) (1 Indexer) 
appened	(1 RunMe) 
